created_at,entry_id,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,delta_temp,indoor_temp_smooth,indoor_humidity_smooth,THI,discomfort,too_cold,humidity_change,humidity_spike,temp_change,temp_spike
2025-12-10 15:18:00+00:00,10978,20.7,45.28,12.6,67.0,8.1,20.753666666666664,45.21366666666666,18.834048,False,False,0.030000000000001137,False,-0.010000000000001563,False
2025-12-10 15:19:00+00:00,10979,20.68,45.31,12.6,67.0,8.08,20.749333333333333,45.222,18.8210869,False,False,0.030000000000001137,False,-0.019999999999999574,False
2025-12-10 15:20:00+00:00,10980,20.67,45.3,12.6,67.0,8.070000000000002,20.74533333333333,45.22866666666666,18.8137555,False,False,-0.010000000000005116,False,-0.00999999999999801,False
2025-12-10 15:21:00+00:00,10981,20.68,45.32,12.6,67.0,8.08,20.741666666666667,45.23433333333333,18.821426799999998,False,False,0.020000000000003126,False,0.00999999999999801,False
2025-12-10 15:22:00+00:00,10982,20.67,45.34,12.6,67.0,8.070000000000002,20.737,45.241,18.815112900000003,False,False,0.020000000000003126,False,-0.00999999999999801,False
2025-12-10 15:23:00+00:00,10983,20.67,45.32,12.6,67.0,8.070000000000002,20.733,45.24566666666667,18.8144342,False,False,-0.020000000000003126,False,0.0,False
2025-12-10 15:24:00+00:00,10984,20.65,45.33,12.6,67.0,8.049999999999999,20.728666666666665,45.252,18.80078725,False,False,0.00999999999999801,False,-0.020000000000003126,False
2025-12-10 15:25:00+00:00,10985,20.65,45.22,12.6,67.0,8.049999999999999,20.72433333333333,45.253,18.7970665,False,False,-0.10999999999999943,False,0.0,False
2025-12-10 15:26:00+00:00,10986,20.67,45.22,12.6,67.0,8.070000000000002,20.72,45.25233333333333,18.8110407,False,False,0.0,False,0.020000000000003126,False
2025-12-10 15:27:01+00:00,10987,20.66,45.14,12.6,67.0,8.06,20.715666666666664,45.249,18.801343199999998,False,False,-0.0799999999999983,False,-0.010000000000001563,False
2025-12-10 15:28:01+00:00,10988,20.61,45.21,12.6,67.0,8.01,20.71,45.24666666666666,18.76878205,False,False,0.07000000000000028,False,-0.05000000000000071,False
2025-12-10 15:29:00+00:00,10989,20.64,45.14,12.6,67.0,8.040000000000001,20.705,45.24466666666667,18.7873778,False,False,-0.07000000000000028,False,0.030000000000001137,False
2025-12-10 15:30:00+00:00,10990,20.64,45.15,12.6,67.0,8.040000000000001,20.70066666666667,45.24366666666666,18.7877155,False,False,0.00999999999999801,False,0.0,False
